Categoria;EAN;Marca;Producto;Precio;Supermercado;Enlace;Imagen;Archivo_Imagen
Bebidas y Licores;"=""7802800576715""";Sin Marca;Jugo Instantáneo En Polvo Mango Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-instlivean-9gr-mango;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/910a50cb/1068147-polvo_mango.JPG;7802800576715.jpg
Bebidas y Licores;"=""7802800576739""";Sin Marca;Jugo Instantáneo En Polvo Berries Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-instlivean-9gr-berries__trashed;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/2382ddc1/1068146-polvo_berries.JPG;7802800576739.jpg
Lácteos;"=""7802800576944""";Cugat;Pack Compota Livean Pouch 90 Gr;2690;Cugat;https://cugat.cl/producto/pack-compota-livean-pouch-90g/;https://cugat.cl/wp-content/uploads/2022/04/7802800576944-247x296.png;7802800576944.jpg
Bebidas y Licores;"=""7802800586318""";Sin Marca;Jugo Instantáneo En Polvo Limonada Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-inst-livean-7gr-limonada;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/fce551b9/1068145-polvo_limonada.JPG;7802800586318.jpg
Niños y Mundo Bebé;"=""7802800709601""";Sin Marca;Livean Pouch Manzana 90 Gr;599;Eltit;https://super.eltit.cl/products/livean-pouch-90gr-manzana;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/4aa9de5c/857203-POUCHT-MANZANA-LIVEAN.jpg;7802800709601.jpg
Niños y Mundo Bebé;"=""7802800709625""";Sin Marca;Livean Pouch Durazno 90 Gr;599;Eltit;https://super.eltit.cl/products/livean-pouch-90gr-durazno;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/83ca7aea/860064-LIVEAN-POUCH-DURAZNO.jpg;7802800709625.jpg
Lácteos;"=""7802800709649""";Cugat;Compota Tu Fruta Rica Sabor A Pera Livean Purfrut 90 Gr;459;Cugat;https://cugat.cl/producto/compota-tu-fruta-rica-sabor-a-durazno-livean-purfrut-90-gr-2/;https://cugat.cl/wp-content/uploads/2022/02/cugat.cl-compota-tu-fruta-rica-sabor-a-pera-livean-purfrut-90-gr-247x296.png;7802800709649.jpg
Lácteos;"=""7802800709663""";Cugat;Compota Tu Fruta Rica Sabor A Manzana-Mango Livean Purfrut 90 Gr;459;Cugat;https://cugat.cl/producto/compota-tu-fruta-rica-sabor-a-manzana-mango-livean-purfrut-90-gr/;https://cugat.cl/wp-content/uploads/2022/02/cugat.cl-compota-tu-fruta-rica-sabor-a-manzana-mango-livean-purfrut-90-gr-247x296.png;7802800709663.jpg
Bebidas y Jugos;"=""7802810000439""";Cugat;Néctar Watts Sabor Piña, Pack 6 Unid. X 200Cc.;2190;Cugat;https://cugat.cl/producto/nectar-watts-pina-200-cc-x-6-unid/;https://cugat.cl/wp-content/uploads/2023/02/pina200mlwatts-247x296.webp;7802810000439.jpg
Lácteos y Quesos;"=""7802810001627""";Sin Marca;Margarina Light Sureña 1Kg;4690;Eltit;https://super.eltit.cl/products/margarina-surena-lg-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/08ced858/1016578-7802810001627.JPG;7802810001627.jpg
Despensa;"=""7802810002099""";Sin Marca;Aceite Maravilla Chef 1Lt;3490;Eltit;https://super.eltit.cl/products/aceite-maravilla-chef-1lt-301299;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/75f38a26/868889-chef_maravilla_1_l.JPG;7802810002099.jpg
Despensa;"=""7802810002150""";Sin Marca;Aceite De Maíz Chef 1Lt;4990;Eltit;https://super.eltit.cl/products/aceite-maiz-chef-1lt-301305;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/00c2030e/868884-aceite_maiz_chef.JPG;7802810002150.jpg
Despensa;"=""7802810002167""";Sin Marca;Aceite De Oliva Puro Chef 1Lt;13990;Eltit;https://super.eltit.cl/products/aceite-oliva-puro-chef-1lt-301306;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/e1a7dd64/868879-chef_puro_oliva.JPG;7802810002167.jpg
Despensa;"=""7802810002181""";Sin Marca;Aceite Pepita Uva Chef 1L;7990;Eltit;https://super.eltit.cl/products/aceite-pepita-uva-chef-1lt-301308;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/117b61b2/857879-ACEITE-CHEF-PEPITA-DE-UVA-1.jpg;7802810002181.jpg
